# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
12/04/2024 00:00:00,Class A,240221000,57.024320,7.848430,Under way using engine,0.0,13.3,49.0,48,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190068,56.447258,10.945872,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,229077000,57.317778,8.753715,Under way using engine,0.0,17.2,239.2,239,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219000873,56.990905,10.304567,Under way using engine,,0.0,31.7,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,255806119,57.271277,8.648747,Under way using engine,0.0,7.9,236.7,238,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190071,57.110042,8.648280,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,231836000,56.168745,11.272232,Under way using engine,-30.2,17.8,47.4,38,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,255806469,55.465165,14.695837,Under way using engine,0.0,10.7,235.6,234,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219016683,56.803700,9.021798,Under way using engine,0.0,0.0,337.6,320,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2655146,56.789980,12.937965,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265859000,56.437517,11.073700,Under way using engine,0.0,14.6,81.1,81,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,538005170,57.448493,8.830862,Under way using engine,0.0,11.6,48.6,50,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,230617000,55.505798,10.887113,Under way using engine,-0.4,14.0,326.7,325,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,255806469,55.465165,14.695837,Under way using engine,0.0,10.7,235.6,234,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219013753,57.320847,11.125655,Engaged in fishing,,0.0,250.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,230617000,55.505798,10.887113,Under way using engine,-0.4,14.0,326.7,325,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,230617000,55.505798,10.887113,Under way using engine,-0.4,14.0,326.7,325,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,230617000,55.505798,10.887113,Under way using engine,-0.4,14.0,326.7,325,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219543000,91.000000,0.000000,Unknown value,,,,,9944546,OZGV2,LAURA MAERSK,Cargo,No additional information,32,172,Combined GPS/GLONASS,8.1,DEBRV,12/04/2024 16:30:00,AIS,154,18,1,31
12/04/2024 00:00:00,Class A,212198000,56.723255,12.136435,Under way using engine,0.0,9.4,163.9,166,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,212198000,56.723255,12.136435,Under way using engine,0.0,9.4,163.9,166,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,212198000,56.723255,12.136435,Under way using engine,0.0,9.4,163.9,166,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,212198000,56.723255,12.136435,Under way using engine,0.0,9.4,163.9,166,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219543000,91.000000,0.000000,Unknown value,,,,,9944546,OZGV2,LAURA MAERSK,Cargo,No additional information,32,172,Combined GPS/GLONASS,8.1,DEBRV,12/04/2024 16:30:00,AIS,154,18,1,31
12/04/2024 00:00:00,Class A,257941000,54.438598,11.866490,Under way using engine,0.0,9.6,267.9,269,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,257941000,54.438598,11.866490,Under way using engine,0.0,9.6,267.9,269,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,314449000,55.458135,8.443663,Moored,0.0,0.0,330.9,99,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,231836000,56.168745,11.272232,Under way using engine,-30.2,17.8,47.4,38,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219001149,57.320815,11.126612,Engaged in fishing,,0.0,343.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219001149,57.320815,11.126612,Engaged in fishing,,0.0,343.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,231836000,56.168745,11.272232,Under way using engine,-30.2,17.8,47.4,38,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265866000,54.324908,11.928433,Under way using engine,0.0,15.6,62.1,62,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265781000,57.573802,11.777460,Under way using engine,0.0,0.0,324.7,196,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265550210,57.690960,11.889965,Under way using engine,0.0,0.0,334.2,77,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219025992,55.087640,8.045658,Under way using engine,,15.8,197.2,196,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219000752,56.000667,8.126917,Unknown value,,0.0,101.2,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class B,219013667,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,OLYMPIA,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219025992,55.087640,8.045658,Under way using engine,,15.8,197.2,196,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class B,219013667,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,OLYMPIA,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265579090,57.707212,11.958108,Under way using engine,0.0,0.0,334.4,299,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,240221000,57.024320,7.848430,Under way using engine,0.0,13.3,49.0,48,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,240221000,57.024320,7.848430,Under way using engine,0.0,13.3,49.0,48,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219031279,91.000000,0.000000,Unknown value,,,,,Unknown,XPI2572,CMO-SIMULATOR,Military,,3,12,GPS,1.0,FRONTEX,,AIS,5,7,2,1
12/04/2024 00:00:00,Class A,259488000,55.278348,10.855890,Under way using engine,0.0,8.7,85.2,84,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219018636,56.000925,8.122865,Engaged in fishing,,0.0,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,259488000,55.278348,10.855890,Under way using engine,0.0,8.7,85.2,84,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,266467000,57.545082,11.315578,Under way using engine,0.0,19.6,71.6,72,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,265051000,54.812660,12.484052,Under way using engine,-1.1,17.7,209.1,210,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,266467000,57.545082,11.315578,Under way using engine,0.0,19.6,71.6,72,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,219001259,55.479078,8.419935,Under way using engine,0.0,0.0,160.0,61,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,258953000,55.909400,12.747895,Under way using engine,-10.0,11.1,358.0,351,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,258953000,55.909400,12.747895,Under way using engine,-10.0,11.1,358.0,351,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,258953000,55.909400,12.747895,Under way using engine,-10.0,11.1,358.0,351,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,271051118,55.171590,14.296843,Under way using engine,0.0,14.8,50.3,50,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,271051118,55.171590,14.296843,Under way using engine,0.0,14.8,50.3,50,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
12/04/2024 00:00:00,Class A,538005170,57.448493,8.830862,Under way using engine,0.0,11.6,48.6,50,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
